nounId,nominative,genitive,transformationType,isSlender,syllableCount,nomSuffix,genSuffix,has ea
9,"Aidbhint","Aidbhinte","+e",true,2,"t","te","no"
37,"Anglais","Anglaise","+e",true,2,"s","se","no"
47,"Ard-Fheis","Ard-Fheise","+e",true,1,"s","se","no"
144,"Ceiltis","Ceiltise","+e",true,2,"s","se","no"
148,"Ciméiris","Ciméirise","+e",true,3,"s","se","no"
149,"Cincís","Cincíse","+e",true,2,"s","se","no"
171,"Cóiréis","Cóiréise","+e",true,2,"s","se","no"
172,"Cóisis","Cóisise","+e",true,2,"s","se","no"
175,"Craís","Craíse","+e",true,1,"s","se","no"
221,"Eocairist","Eocairiste","+e",true,3,"t","te","no"
309,"Hiondúis","Hiondúise","+e",true,2,"s","se","no"
327,"Inid","Inide","+e",true,2,"d","de","no"
374,"Lombairdis","Lombairdise","+e",true,3,"s","se","no"
454,"Navachóis","Navachóise","+e",true,3,"s","se","no"
575,"Seapáinis","Seapáinise","+e",true,3,"s","se","no"
605,"Slavais","Slavaise","+e",true,2,"s","se","no"
632,"Tibéidis","Tibéidise","+e",true,3,"s","se","no"
642,"Tríonóid","Tríonóide","+e",true,2,"d","de","no"
655,"Urdúis","Urdúise","+e",true,2,"s","se","no"
683,"abairt","abairte","+e",true,2,"t","te","no"
693,"abhantrach","abhantraí","aí",false,3,"ach","aí","no"
698,"abhlann","abhlainne","palatalized alt + e",false,2,"ann","ainne","no"
701,"abhóg","abhóige","palatalized alt + e",false,2,"óg","óige","no"
705,"abhraiseach","abhraisí","í",false,3,"seach","sí","yes"
725,"acarsóid","acarsóide","+e",true,3,"d","de","no"
750,"acmhainn","acmhainne","+e",true,2,"n","ne","no"
762,"adhaint","adhainte","+e",true,2,"t","te","no"
764,"adhairt","adhairte","+e",true,2,"t","te","no"
772,"adharc","adhairce","palatalized alt + e",false,2,"arc","airce","no"
777,"adhascaid","adhascaide","+e",true,3,"d","de","no"
789,"adhmaint","adhmainte","+e",true,2,"t","te","no"
801,"adóib","adóibe","+e",true,2,"b","be","no"
806,"aeistéitic","aeistéitice","+e",true,3,"c","ce","no"
816,"aeraidinimic","aeraidinimice","+e",true,5,"c","ce","no"
822,"aeráid","aeráide","+e",true,2,"d","de","no"
831,"aerbhunáit","aerbhunáite","+e",true,3,"t","te","no"
865,"aermhais","aermhaise","+e",true,2,"s","se","no"
868,"aeróg","aeróige","palatalized alt + e",false,2,"óg","óige","no"
871,"aerpháirc","aerpháirce","+e",true,2,"c","ce","no"
878,"aershreabh","aershreibhe","palatalized alt + e",false,2,"eabh","eibhe","yes"
885,"aerthonn","aerthoinne","palatalized alt + e",false,2,"onn","oinne","no"
891,"agaill","agaille","+e",true,2,"l","le","no"
894,"agall","agaille","palatalized alt + e",false,2,"all","aille","no"
902,"agáit","agáite","+e",true,2,"t","te","no"
904,"aghaidh","aghaidhe","+e",true,2,"h","he","no"
909,"agóid","agóide","+e",true,2,"d","de","no"
924,"aibhéis","aibhéise","+e",true,2,"s","se","no"
927,"aibhléis","aibhléise","+e",true,2,"s","se","no"
934,"aibíd","aibíde","+e",true,2,"d","de","no"
937,"aibítir","aibítre","syncope + e",true,3,"tir","tre","no"
938,"aibreog","aibreoige","palatalized alt + e",false,2,"og","oige","no"
951,"aicéitiléin","aicéitiléine","+e",true,4,"n","ne","no"
957,"aicíd","aicíde","+e",true,2,"d","de","no"
970,"aicsím","aicsíme","+e",true,2,"m","me","no"
972,"aidhm","aidhme","+e",true,1,"m","me","no"
982,"aifid","aifide","+e",true,2,"d","de","no"
1007,"ailb","ailbe","+e",true,1,"b","be","no"
1012,"ailceimic","ailceimice","+e",true,3,"c","ce","no"
1033,"aill","aille","+e",true,1,"l","le","no"
1040,"ailléirgin","ailléirgine","+e",true,3,"n","ne","no"
1042,"ailp","ailpe","+e",true,1,"p","pe","no"
1046,"ailt","ailte","+e",true,1,"t","te","no"
1061,"aimhréidh","aimhréidhe","+e",true,2,"h","he","no"
1064,"aimhriar","aimhréire","palatalized alt + e",false,2,"riar","réire","no"
1071,"aimitis","aimitise","+e",true,3,"s","se","no"
1077,"aimléis","aimléise","+e",true,2,"s","se","no"
1081,"aimniceintéis","aimniceintéise","+e",true,4,"s","se","no"
1095,"aimsir","aimsire","+e",true,2,"r","re","no"
1107,"ainbhreith","ainbhreithe","+e",true,2,"h","he","no"
1110,"aincheist","aincheiste","+e",true,2,"t","te","no"
1118,"aincis","aincise","+e",true,2,"s","se","no"
1159,"ainglis","ainglise","+e",true,2,"s","se","no"
1166,"ainimh","ainimhe","+e",true,2,"h","he","no"
1173,"ainís","ainíse","+e",true,2,"s","se","no"
1183,"ainmhéid","ainmhéide","+e",true,2,"d","de","no"
